,Echogram,ORIG_FID,Shape_Length,Shape_Area,Join_Count,Location,DepthMean,MeanMeanTSc
7,T120306,7,0.00191083594502531,4.87294352719801E-08,9,A7a,9.572943,-60.09111
639,T120306,645,0.00198657017492467,4.82148495745218E-08,0,A7a,12.179267,0.00000
640,T120306,646,0.00191118211695619,4.87801988069029E-08,0,A7a,11.927615,0.00000
641,T120306,647,0.00191099127621058,4.88943826998275E-08,0,A7a,11.367467,0.00000
642,T120306,648,0.00196084464158962,4.71953155534572E-08,0,A7a,11.219,0.00000
643,T120306,649,0.00195829004974302,4.70334485557306E-08,0,A7a,11.922313,0.00000
644,T120306,650,0.00195243198488265,4.48648766908524E-08,0,A7a,11.837813,0.00000
645,T120306,651,0.00195730062201371,4.70983953149411E-08,0,A7a,11.686,0.00000
646,T120306,652,0.00195480380137916,4.63968593078132E-08,0,A7a,11.462645,0.00000
647,T120306,653,0.00190359319969017,4.87010075002453E-08,0,A7a,10.414256,0.00000
648,T120306,654,0.00190640169481807,4.86973265096673E-08,0,A7a,11.225433,0.00000
649,T120306,655,0.00195569872364747,4.46715275093505E-08,0,A7a,11.403964,0.00000
650,T120306,656,0.00191102897185137,4.87713188106018E-08,0,A7a,11.39848,0.00000
651,T120306,657,0.00196004868723988,4.70234414143633E-08,0,A7a,11.288111,0.00000
652,T120306,658,0.00189051251793372,4.82063964413814E-08,3,A7a,10.824656,-59.70333
653,T120306,659,0.00192102302742223,4.66176293174003E-08,0,A7a,11.049021,0.00000
654,T120306,660,0.00190962439850734,4.86422926842253E-08,0,A7a,11.094364,0.00000
655,T120306,661,0.00195725730197294,4.6375910451564E-08,0,A7a,11.124359,0.00000
656,T120306,662,0.00190740441158137,4.86640427507348E-08,0,A7a,11.066,0.00000
657,T120306,663,0.00194845435847763,4.62099351116962E-08,0,A7a,10.854222,0.00000
658,T120306,664,0.0018917569575868,4.85086444752105E-08,0,A7a,10.780111,0.00000
659,T120306,665,0.00190931729743561,4.86757938436606E-08,0,A7a,10.906323,0.00000
660,T120306,666,0.00190876219990862,4.86746919843389E-08,0,A7a,10.9656,0.00000
661,T120306,667,0.00191195415335058,4.87180850789083E-08,0,A7a,10.9704,0.00000
662,T120306,668,0.00195081526855469,4.70203522393668E-08,0,A7a,10.839576,0.00000
663,T120306,669,0.00189413823640736,4.84600983239455E-08,0,A7a,10.547114,0.00000
664,T120306,670,0.00190099988666446,4.85241947545171E-08,0,A7a,10.575,0.00000
665,T120306,671,0.00190759753228353,4.86546994478258E-08,0,A7a,10.376912,0.00000
666,T120306,672,0.00191024315313726,4.88226271418831E-08,7,A7a,8.096541,-56.26286
667,T120306,673,0.00190927201285948,4.87105005818769E-08,3,A7a,9.255324,-57.37667
668,T120306,674,0.00190586500036833,4.87172634766759E-08,0,A7a,10.178176,0.00000
669,T120306,675,0.00187999135688225,4.75063588544605E-08,0,A7a,10.129088,0.00000
670,T120306,676,0.00192384589469882,4.66905665526652E-08,1,A7a,9.921,-47.75000
671,T120306,677,0.00187094722815739,4.81650144779056E-08,0,A7a,10.090972,0.00000
672,T120306,678,0.00195195113269229,4.55722068297447E-08,0,A7a,10.072545,0.00000
673,T120306,679,0.00189794690608798,4.86505755713601E-08,0,A7a,9.983025,0.00000
674,T120306,680,0.00190138064565818,4.87229432189586E-08,0,A7a,9.34683,0.00000
675,T120306,681,0.00189910938798244,4.86620671076673E-08,5,A7a,9.014468,-57.35400
676,T120306,682,0.00191038664209019,4.8830855346489E-08,0,A7a,9.370048,0.00000
677,T120306,683,0.00190037779473836,4.81419788888981E-08,1,A7a,10.749405,-69.87000
678,T120306,684,0.00111922817491119,2.78220944474176E-08,0,A7a,8.734417,0.00000
29,T145913,30,0.00185438048172975,4.7780943172537E-08,3,A7a,9.165951,-49.74000
744,T145913,750,0.00143804901965254,3.77337763955896E-08,4,A7a,3.568504,-53.25750
745,T145913,751,0.00190238431396362,4.75954293341782E-08,0,A7a,9.789692,0.00000
746,T145913,752,0.00195576542195874,4.70018829746115E-08,0,A7a,11.273321,0.00000
747,T145913,753,0.00190753069417714,4.86708444219752E-08,0,A7a,9.732517,0.00000
748,T145913,754,0.00200082320213755,4.08017511192803E-08,4,A7a,9.068,-49.15500
749,T145913,755,0.00190929478507865,4.86207765416716E-08,0,A7a,10.858833,0.00000
750,T145913,756,0.00195591631009151,4.66912397389743E-08,0,A7a,11.424844,0.00000
751,T145913,757,0.00194542025255937,4.16641203218634E-08,0,A7a,10.2635,0.00000
752,T145913,758,0.00195626441111172,4.65635772873816E-08,0,A7a,11.255586,0.00000
753,T145913,759,0.00196060017994449,4.61550353097587E-08,0,A7a,10.212115,0.00000
754,T145913,760,0.00195455134750954,4.72361471829879E-08,0,A7a,9.605364,0.00000
755,T145913,761,0.00190823424995432,4.86231333140788E-08,0,A7a,11.49092,0.00000
