Number,TransectLocationCode,WaterBodyOLD,WaterBody,Vehicle,Name,Echogram,,,,,,,,,
6,L1a,RiverM,M,SmallBoat,D20140405,T165826,,,,,,,,,
7,L1b,Lake,L,SmallBoat,D20140406,T145617,,,,,,,,,
8,L,Lake,L,BigBoat,D20140407,T193321,,,,,,,,,
9,L,Lake,L,BigBoat,D20140407,T194250,,,,,,,,,
10,L,Lake,L,BigBoat,D20140408,T125453,,,,,,,,,
11,L,Lake,L,BigBoat,D20140408,T140711,,,,,,,,,
12,L,Lake,L,BigBoat,D20140408,T141341,,,,,,,,,
13,L,Lake,L,BigBoat,D20140408,T142307,,,,,,,,,
14,L,Lake,L,BigBoat,D20140408,T143657,,,,,,,,,
15,L,Lake,L,BigBoat,D20140408,T143735,,,,,,,,,
16,L,Lake,L,BigBoat,D20140408,T151601,,,,,,,,,
17,L,Lake,L,BigBoat,D20140408,T152225,,,,,,,,,
18,L,Lake,L,BigBoat,D20140408,T194618,,,,,,,,,
19,L,Lake,L,BigBoat,D20140409,T120507,,,,,,,,,
20,L,Lake,L,BigBoat,D20140409,T145912,,,,,,,,,
21,L,Lake,L,BigBoat,D20140409,T171242,,,,,,,,,
22,L,Lake,L,BigBoat,D20140410,T112733,,,,,,,,,
23,L,Lake,L,BigBoat,D20140410,T123857,,,,,,,,,
29,R,RiverM,M,BigBoat,D20140413,T190433,,,,,,,,,
30,R,RiverM,M,BigBoat,D20140414,T140727,,,,,,,,,
31,R,RiverM,M,BigBoat,D20140414,T144732,,,,,,,,,
32,R,RiverM,M,BigBoat,D20140414,T150130,,,,,,,,,
33,R,RiverM,M,BigBoat,D20140414,T192911,,,,,,,,,
34,R,RiverM,M,BigBoat,D20140414,T192954,,,,,,,,,
35,R,RiverM,M,BigBoat,D20140415,T121140,,,,,,,,,
36,R,RiverM,M,BigBoat,D20140415,T170753,,,,,,,,,
37,R,RiverM,M,BigBoat,D20140415,T175858,,,,,,,,,
38,R,RiverM,M,BigBoat,D20140416,T115230,,,,,,,,,
39,R,RiverM,M,BigBoat,D20140416,T165911,,,,,,,,,
40,R,RiverM,M,BigBoat,D20140416,T171557,,,,,,,,,
41,R,RiverM,M,BigBoat,D20140416,T180427,,,,,,,,,
42,R,RiverM,M,BigBoat,D20140416,T183650,,,,,,,,,
43,R,RiverM,M,BigBoat,D20140414,T145430,,,,,,,,,
44,R,RiverT,R,SmallBoat,D20140420,T180850,,,,,,,,,
45,R,RiverT,R,BigBoat,D20140419,T121729,,,,,,,,,
46,R,RiverT,R,BigBoat,D20140418,T184008,,,,,,,,,
47,R,RiverT,R,BigBoat,D20140418,T182853,,,,,,,,,
48,R,RiverT,R,BigBoat,D20140418,T184523,,,,,,,,,
49,R,RiverT,R,BigBoat,D20140419,T134302,,,,,,,,,
50,R,RiverT,R,BigBoat,D20140419,T170317,,,,,,,,,
51,R,RiverT,R,BigBoat,D20140420,T122607,,,,,,,,,
52,L(floodedtributary),Lake,L,BigBoat,D20140421,T142018,,,,,,,,,
53,R,RiverM,M,BigBoat,D20140421,T221812,,,,,,,,,
54,R,RiverM,M,BigBoat,D20140421,T224450,,,,,,,,,
55,R,RiverM,M,BigBoat,D20140422,T182945,,,,,,,,,
56,R,RiverT,R,BigBoat,D20140425,T122321,,,,,,,,,
57,R,RiverT,R,BigBoat,D20120621,T030701,,,,,,,,,
61,R,RiverT,R,BigBoat,D20140415,T175904,,,,,,,,,
62,R,RiverT,R,BigBoat,D20140415,T175907,,,,,,,,,
63,R,RiverT,R,BigBoat,D20140415,T175908,,,,,,,,,
64,R,RiverT,R,BigBoat,D20140425,T172905,,,,,,,,,
65,R,RiverM,M,BigBoat,D20140428,T103951,,,,,,,,,
66,R,RiverT,R,BigBoat,D20140501,T145913,,,,,,,,,
67,R,RiverT,R,BigBoat,D20140501,T182712,,,,,,,,,
68,R,RiverT,R,BigBoat,D20140501,T182823,,,,,,,,,
69,R,RiverT,R,SmallBoat,D20140502,T194423,,,,,,,,,
70,R,RiverT,R,BigBoat,D20140503,T120306,,,,,,,,,
71,L,Lake,L,SmallBoat,D20140505,T145403,,,,,,,,,
72,L,Lake,L,SmallBoat,D20140507,T142102,,,,,,,,,
73,R,RiverM,M,BigBoat,D20140508,T125142,,,,,,,,,
74,R,RiverM,M,SmallBoat,D20140507,T183923,,,,,,,,,
75,R,RiverM,M,BigBoat,D20140511,T171152,,,,,,,,,
76,R,RiverM,M,BigBoat,D20140512,T113331,,,,,,,,,
77,L,Lake,L,SmallBoat,D20140512,T160147,,,,,,,,,
79,R,RiverM,M,BigBoat,D20140503,T182141,,,,,,,,,
80,R,RiverM,M,BigBoat,D20140504,T160941,,,,,,,,,
82,R,RiverM,M,BigBoat,D20140513,T150234,,,,,,,,,
,R,RiverM,M,BigBoat,D20140509,T110117,,,,,,,,,
,R,RiverM,M,SmallBoat,D20140514,T111512,,,,,,,,,
,Forest,Forest,F,SmallBoat,D20140514,T125816,,,,,,,,,
,NoData,RiverT,R,NoData,NoData,T132845,,,,,,,,,
,NoData,Lake,L,NoData,NoData,T171205,,,,,,,,,
,Channel,RiverT,R,SmallBoat,D20140514,T175719,,,,,,,,,
,Forest,Forest,F,SmallBoat,D20140515,T175906,,,,,,,,,
,Channel,RiverT,R,SmallBoat,D20140515,T180717,,,,,,,,,
